tourney_id,tourney_name,surface,draw_size,tourney_level
1993-855,Bruck CH,Clay,32,C
2011-M-FU-IRL-01A-2011,Ireland F1,Carpet,32,S
2001-M-SA-IND-01A-2001d,India 1 4,Hard,32,S
2015-338,Sydney,Hard,28,A
1998-M-SA-JPN-01A-1998b,Japan 1 Masters 2,Hard,32,S
1982-D023,Davis Cup WG R1: NZL vs ESP,Grass,4,D
2000-M-SA-AUS-02A-2000c,Australia 2 3,Hard,32,S
2015-D071,Davis Cup G2 PO: PER vs BOL,Clay,4,D
2017-M-DC-2017-G2-AO-M-VIE-HKG-01,Davis Cup G2 R1: VIE vs HKG,,4,D
2002-D051,Davis Cup G2 PO: PHI vs KUW,Clay,4,D
2014-M-FU-FIN-03A-2014,Finland F3,Clay,32,S
2004-D015,Davis Cup WG F: ESP vs USA,Clay,4,D
2014-7013,Heilbronn II CH,Clay,32,C
2018-520,Roland Garros,Clay,128,G
1992-D059,Davis Cup G1 QF: KEN vs ROU,Clay,4,D
1991-M-SA-PAK-01A-1991d,Bangladesh Pakistan Masters 4,Grass,24,S
1993-M-SA-ESP-06A-1993c,Spain 6 Masters 3,Clay,32,S
1997-M-SA-ARG-02A-1997c,Argentina 2 Masters 3,Clay,24,S
2014-M-FU-CHI-11A-2014,Chile F11,Clay,32,S
1979-289,Royan CH,Clay,32,C
2013-M-FU-SRB-13A-2013,Serbia F13,Clay,32,S
2010-M-FU-MEX-08A-2010,Mexico F8,Clay,32,S
1994-M-SA-MEX-04A-1994d,Cuba Mexico Masters 4,Hard,32,S
2013-M-FU-ITA-14A-2013,Italy F14,Clay,32,S
2003-D062,Davis Cup G2 PO: POL vs MON,Clay,4,D
2009-M-FU-POL-05A-2009,Poland F5,Clay,32,S
2002-457,Milan1 CH,Carpet,32,C
1986-423,Los Angeles,Hard,32,A
2006-M-FU-CRC-01A-2006,Costa Rica F1,Hard,32,S
2006-M-FU-BRA-04A-2006,Brazil F4,Clay,32,S
2007-363,Knoxville CH,Hard,32,C
1978-D041,Davis Cup EUR PR: MAR vs YUG,,4,D
1996-783,Segovia CH,Hard,32,C
1991-M-SA-ITA-04A-1990d,Italy 1 Masters 4,Carpet,24,S
2010-M-FU-ESP-20A-2010,Spain F20,Carpet,32,S
1995-M-SA-ANT-01A-1995b,Caribbean 2 Masters 2,Hard,24,S
2018-M-FU-HUN-06A-2018,Hungary F6,Clay,32,S
2011-M-FU-SRB-10A-2011,Serbia F10,Clay,32,S
1997-M-SA-MAS-01A-1997a,Malaysia 1 Masters 1,Hard,24,S
1997-M-SA-ISR-02A-1997c,Israel 2 Masters 3,Hard,32,S
2006-M-FU-POL-05A-2006,Poland F5,Clay,32,S
2015-M-FU-GUA-01A-2015,Guatemala F1,Hard,32,S
2018-3503,Rennes CH,Hard,32,C
2012-M-FU-INA-04A-2012,Indonesia F4,Hard,32,S
2009-603,Fergana CH,Hard,32,C
2014-1763,Genova CH,Clay,32,C
2019-M-ITF-MEX-24A-2019,M15 Cancun,Hard,32,S
2017-M-FU-TUN-24A-2017,Tunisia F24,Clay,32,S
2017-M-FU-IND-02A-2017,India F2,Hard,32,S
1974-D004,Davis Cup WG F: IND vs AUS,,4,D
1995-M-SA-GBR-01A-1995d,Great Britain 1 Masters 4,Carpet,32,S
2007-M-FU-AUS-10A-2007,Australia F10,Hard,32,S
1999-M-SA-GRE-01A-1999d,Greece 1 Masters 4,Hard,32,S
1995-M-SA-ESP-04A-1995d,Spain 4 Masters 4,Clay,32,S
2016-M-FU-ESP-23A-2016,Spain F23,Clay,32,S
2007-M-FU-ARG-03A-2007,Argentina F3,Clay,32,S
1968-D033,Davis Cup WG F: USA vs IND,Hard,4,D
2008-M-FU-MAR-01A-2008,Morocco F1,Clay,32,S
2012-M-FU-USA-21A-2012,USA F21,Hard,32,S
1996-M-SA-ESP-02A-1996c,Spain 2 Masters 3,Clay,32,S
1974-D058,Davis Cup EUR PQ: NGR vs KEN,Hard,4,D
2007-M-FU-BIH-02A-2007,Bosnia & Herzegovina F2,Clay,32,S
2018-M-FU-ESP-26A-2018,Spain F26,Clay,32,S
2018-M-FU-ITA-17A-2018,Italy F17,Clay,32,S
2018-M-FU-ARG-04A-2018,Argentina F4,Clay,32,S
2012-M-FU-AUT-07A-2012,Austria F7,Clay,32,S
2018-M-FU-ARG-09A-2018,Argentina F9,Clay,32,S
1980-610,Dallas WCT,Carpet,8,A
2013-M-FU-GER-06A-2013,Germany F6,Clay,32,S
2014-M-FU-TUR-39A-2014,Turkey F39,Hard,32,S
2005-M-FU-LTU-01A-2005,Lithuania F1,Clay,32,S
2008-M-FU-RUS-07A-2008,Russia F7,Clay,32,S
1990-733,Hossegor CH,Clay,32,C
2001-D015,Davis Cup G1 QF: JPN vs THA,Hard,4,D
1981-266,Kyoto CH,Clay,32,C
2013-M-FU-TPE-01A-2013,Chinese Taipei F1,Hard,32,S
2013-308,Munich,Clay,28,A
1972-9037,Tokyo,Hard,8,A
2000-D073,Davis Cup WG R1: GER vs NED,Carpet,4,D
2015-M-FU-SRB-04A-2015,Serbia F4,Clay,32,S
1989-475,San Marino,Clay,32,A
1981-260,Le Touquet CH,Clay,32,C
2017-M-FU-BRN-02A-2017,Bahrain F2,Hard,32,S
2015-D003,Davis Cup WG R1: CZE vs AUS,Hard,4,D
1992-M-SA-POR-03A-1992c,Portugal 3 Masters 3,Hard,32,S
1998-588,Zagreb CH,Clay,32,C
2015-M-FU-AUS-03A-2015,Australia F3,Grass,32,S
1986-D062,Davis Cup AFR R1: TUN vs NGR,Clay,4,D
1992-D035,Davis Cup G2 QF: ECU vs PER,Clay,4,D
1985-318,Livingston,Hard,32,A
2009-1543,Turin CH,Clay,32,C
1994-M-SA-HUN-01A-1994b,Hungary Masters 2,Clay,24,S
2012-M-FU-ESP-20A-2012,Spain F20,Clay,32,S
2016-M-FU-FRA-10A-2016,France F10,Clay,32,S
2000-D012,Davis Cup G1 QF: ROU vs HUN,Carpet,4,D
2006-M-FU-BRA-08A-2006,Brazil F8,Clay,32,S
2012-568,St. Petersburg,Hard,32,A
1991-M-SA-ESP-03A-1991b,Spain 3 Masters 2,Clay,32,S
1970-652,St. Louis WCT,Carpet,32,A
2007-2206,La Serena CH,Clay,32,C
1993-M-SA-MEX-02A-1993a,Mexico 2 Masters 1,Hard,24,S
2017-M-FU-KOR-01A-2017,Korea F1,Hard,32,S
1993-M-SA-ESP-07A-1993c,Spain 7 Masters 3,Hard,32,S
2001-M-FU-CAN-02A-2001,Canada F2,Hard,32,S
2001-M-FU-JPN-07A-2001,Japan F7,Hard,32,S
2002-M-FU-JAM-19A-2002,Jamaica F19,Hard,32,S
1999-M-FU-ITA-05A-1999,Italy F5,Clay,32,S
2006-M-FU-FRA-05A-2006,France F5,Hard,32,S
1991-M-SA-TCH-01A-1991d,Czechoslovakia Masters 4,Clay,24,S
2011-M-FU-ITA-28A-2011,Italy F28,Carpet,32,S
1985-D024,Davis Cup WG QF: ECU vs TCH,Clay,4,D
2019-M-ITF-RUS-04A-2019,M15 Moscow,Clay,32,S
1998-D013,Davis Cup G2 R1: BLR vs LUX,Carpet,4,D
2001-M-FU-GBR-05A-2001,Great Britain F5,Clay,32,S
2017-7791,Almaty CH,Clay,32,C
2020-7853,Punta Del Este CH,Clay,64,C
1976-389,Denver WCT,Carpet,16,A
2015-M-FU-IRI-05A-2015,Iran F5,Hard,32,S
2018-M-FU-ITA-29A-2018,Italy F29,Clay,32,S
1999-M-SA-ESP-04A-1999d,Spain 4 Masters 4,Clay,32,S
2013-6590,Sibiu CH,Clay,32,C
