tourney_id,tourney_name,surface,draw_size,tourney_level
1998-M-FU-PAR-03A-1998,Paraguay F3,Clay,32,S
1997-M-SA-GRE-01A-1997d,Greece 1 Masters 4,Hard,32,S
1977-656,Jackson,Carpet,16,A
2012-443,Napoli CH,Clay,32,C
1995-587,Asuncion CH,Clay,32,C
2016-M-FU-USA-16A-2016,USA F16,Clay,32,S
2014-M-FU-KUW-01A-2014,Kuwait F1,Hard,32,S
2005-M-FU-CAN-02A-2005,Canada F2,Hard,32,S
2006-666,Bronx CH,Hard,32,C
2015-M-FU-AUT-07A-2015,Austria F7,Clay,32,S
2007-827,Andrezieux CH,Hard,32,C
1999-M-FU-NZL-01A-1999,New Zealand F1,Hard,32,S
2000-M-FU-FRA-12A-2000,France F13,Clay,32,S
2018-M-FU-BIH-02A-2018,Bosnia &amp; Herzegovina F2,Clay,32,S
2010-M-FU-ESP-26A-2010,Spain F26,Clay,32,S
1991-438,Moscow,Carpet,32,A
1979-427,Sydney Indoor,Hard,32,A
2013-D015,Davis Cup WG F: SRB vs CZE,Hard,4,D
1997-M-SA-BRA-02A-1997b,Brazil 2 Masters 2,Clay,32,S
2018-M-FU-ZIM-01A-2018,Zimbabwe F1,Hard,32,S
2010-540,Wimbledon,Grass,128,G
2018-M-FU-FRA-18A-2018,France F18,Hard,32,S
2008-M-FU-USA-26A-2008,USA F26,Hard,32,S
2009-D058,Davis Cup G2 R2: FIN vs MON,Clay,4,D
2000-M-SA-SVK-01A-2000a,Slovak Rep Masters 1,Clay,24,S
1989-D001,Davis Cup G2 QF: ALG vs MAR,Clay,4,D
1989-424,San Francisco,Carpet,32,A
2017-M-DC-2017-G2-EPA-M-EST-RSA-01,Davis Cup G2 R1: EST vs RSA,,4,D
2005-M-FU-USA-17A-2005,USA F17,Clay,32,S
1997-836,Reunion Island CH,Hard,32,C
1976-267,Barcelona WCT,Clay,16,A
2018-7793,Ismaning CH,Hard,32,C
2010-M-FU-ARG-22A-2010,Argentina F22,Clay,32,S
2017-M-FU-CHI-03A-2017,Chile F3,Clay,32,S
1996-M-SA-SWE-01A-1996a,Sweden 2 Masters 1,Carpet,32,S
2015-D019,Davis Cup G1 PO: BAR vs ECU,Hard,4,D
1999-M-SA-AUS-02A-1999c,Australia 2 Masters 3,Hard,32,S
2013-460,Heilbronn CH,Hard,32,C
2010-544,Montevideo CH,Clay,32,C
2013-M-FU-ITA-08A-2013,Italy F8,Clay,32,S
2016-7341,Brest CH,Hard,32,C
1996-M-SA-MEX-04A-1996d,Cuba Mexico Masters 4,Hard,32,S
1999-D026,Davis Cup G1 PO: IND vs CHN,Grass,4,D
2018-M-FU-CRO-02A-2018,Croatia F2,Clay,32,S
2013-6156,Marburg CH,Clay,32,C
2016-0319,Kitzbuhel,Clay,32,A
2002-M-FU-SLO-01A-2002,Slovenia F1,Clay,32,S
2019-M-ITF-USA-16A-2019,M25 Tulsa OK,Hard,32,S
2002-D005,Davis Cup WG R1: RUS vs SUI,Clay,4,D
2015-M-FU-CHN-09A-2015,China F9,Hard,30,S
1978-705,North Conway,Clay,64,A
2011-692,Tallahassee CH,Hard,32,C
1977-D016,Davis Cup EUR SF: RSA vs COL,,4,D
2004-1741,Busan CH,Hard,32,C
2014-7027,Nanchang CH,Hard,32,C
1993-M-SA-HUN-01A-1993c,Hungary Masters 3,Clay,32,S
2002-M-SA-CHN-01A-2002d,China 1 4,Hard,32,S
1995-422,Cincinnati Masters,Hard,56,M
1975-9207,Algiers,Clay,32,A
2011-533,Costa Do Sauipe,Clay,28,A
2000-M-FU-JOR-01A-2000,Jordan F1,Hard,32,S
2003-443,Napoli CH,Clay,32,C
2014-M-FU-GRE-05A-2014,Greece F5,Hard,32,S
2005-M-FU-BRA-10A-2005,Brazil F10,Clay,32,S
2020-M056,Adelaide,Hard,32,A
2001-M-SA-MEX-01A-2001a,Mexico 1 1,Clay,24,S
2002-D062,Davis Cup WG PO: BRA vs CAN,Clay,4,D
1979-615,Nations Cup,Clay,16,A
2006-M-FU-LTU-02A-2006,Lithuania F2,Clay,32,S
2017-M-FU-USA-07A-2017,USA F7,Clay,32,S
2006-475,Sopot,Clay,32,A
2016-M-FU-EGY-08A-2016,Egypt F8,Hard,32,S
1988-D036,Davis Cup G2 SF: GRE vs POL,Clay,4,D
2013-M-FU-COL-05A-2013,Colombia F5,Clay,32,S
1986-D030,Davis Cup WG R1: GBR vs ESP,Carpet,4,D
1982-D055,Davis Cup WG R1: SWE vs URS,Carpet,4,D
2008-M-FU-ARG-02A-2008,Argentina F2,Clay,32,S
1985-427,Sydney Indoor,Hard,32,A
1991-D014,Davis Cup WG PO: BEL vs ISR,Clay,4,D
1992-M-SA-CAN-01A-1992b,Canada Masters 2,Carpet,32,S
2003-1740,Zell CH,Clay,32,C
1987-433,Scottsdale,Hard,32,A
2003-M-SA-AUS-01A-2003d,Australia 1 4,Hard,32,S
1996-D005,Davis Cup G1 PO: UKR vs NOR,Clay,4,D
2014-M-FU-UKR-07A-2014,Ukraine F7,Hard,32,S
1997-M-SA-KOR-01A-1997b,Korea Masters 2,Clay,24,S
1973-D026,Davis Cup EUR QF: EGY vs TCH,Clay,4,D
2008-M-FU-POR-01A-2008,Portugal F1,Hard,32,S
2005-M-FU-GBR-04A-2005,Great Britain F4,Hard,32,S
2009-3769,Tanger CH,Clay,32,C
1976-D018,Davis Cup AME F: CHI vs RSA,,4,D
1978-314,Gstaad,Clay,32,A
2008-D038,Davis Cup WG QF: ARG vs SWE,Clay,4,D
1991-414,Hamburg Masters,Clay,56,M
1996-M-SA-GBR-01A-1996b,Great Britain 1 Masters 2,Carpet,24,S
2000-M-SA-TUR-01A-2000d,Turkey 1 Satellite 4,Clay,32,S
1980-D005,Davis Cup AME SF: AUS vs JPN,Carpet,4,D
1999-M-SA-SVK-01A-1999a,Slovak Republic Masters 1,Clay,32,S
1991-786,Warsaw CH,Clay,32,C
1971-D018,Davis Cup SAM QF: COL vs CHI,,4,D
2012-M-FU-GBR-04A-2012,Great Britain F4,Hard,32,S
2000-M-SA-POR-01A-2000d,Portugal 1 4,Clay,32,S
1987-D029,Davis Cup AME R1: COL vs URU,Clay,4,D
1971-D007,Davis Cup EUR R1: GRE vs BEL,,4,D
2011-M-FU-ISR-01A-2011,Israel F1,Hard,32,S
2003-D048,Davis Cup G2 R2: PAR vs MEX,Clay,4,D
2010-854,Bergamo CH,Hard,32,C
1991-332,Cologne CH,Clay,32,C
1989-241,Sao Paulo CH,Clay,32,C
2019-M-DC-2019-G1-EPA-M-HUN-UKR-01,Davis Cup G1 R1: HUN vs UKR,Clay,4,D
2009-3932,Constanta CH,Clay,32,C
2009-M-FU-IND-03A-2009,India F3,Hard,32,S
2015-M-FU-KAZ-02A-2015,Kazakhstan F2,Hard,32,S
1992-792,New Haven CH,Hard,32,C
2011-M-FU-BEL-04A-2011,Belgium F4,Hard,32,S
1975-436,Charlotte,Clay,32,A
2005-M-FU-USA-04A-2005,USA F4,Hard,32,S
1984-D038,Davis Cup WG PO: FRG vs ROU,Clay,4,D
1982-D038,Davis Cup WG PO: URS vs IND,Clay,4,D
1985-D019,Davis Cup EUR SF: NZL vs CHN,Hard,4,D
1999-M-FU-ESP-06A-1999,Spain F6,Clay,32,S
2016-M-FU-ROU-04A-2016,Romania F4,Clay,32,S
2012-M-FU-ESP-08A-2012,Spain F8,Hard,32,S
2015-M-FU-EGY-26A-2015,Egypt F26,Hard,32,S
1995-M-SA-UZB-01A-1995a,Uzbekistan Masters 1,Clay,24,S
2016-M-FU-MAR-08A-2016,Morocco F8,Clay,32,S
2020-M-ITF-SVK-01A-2020,M15 Trnava,Hard,32,15
2001-91,Kyoto CH,Carpet,32,C
1974-D056,Davis Cup G1 QF: TPE vs JPN,Hard,4,D
2002-M-FU-JAM-09A-2002,Jamaica F9,Hard,32,S
1996-402,Memphis,Hard,48,A
2004-M-FU-FRA-03A-2004,France F3,Hard,32,S
2010-M-FU-ARG-17A-2010,Argentina F17,Clay,32,S
2014-D064,Davis Cup G2 R1: FIN vs BUL,,4,D
2002-M-FU-CZE-07A-2002,Czech Rep F7,Hard,32,S
2014-D017,Davis Cup WG PO: BRA vs ESP,Clay,4,D
1991-408,Milan,Carpet,32,A
2012-M-FU-CAM-02A-2012,Cambodia F2,Hard,32,S
1991-481,Copenhagen,Carpet,32,A
1989-470,Guadeloupe CH,Hard,32,C
1999-447,Samarkand CH,Clay,32,C
2000-M-FU-IND-06A-2000,India F6,Hard,32,S
2002-M-FU-RWA-02A-2002,Rwanda F2,Clay,32,S
1998-M-SA-ITA-01A-1998d,Italy 1 Masters 4,Carpet,32,S
1985-406,Brussels,Carpet,32,A
2017-7015,Vicenza CH,Clay,32,C
1991-M-SA-POR-02A-1991c,Portugal 2 Masters 3,Clay,32,S
1981-D040,Davis Cup EUR R1: NOR vs IRL,Clay,4,D
1986-225,Campos CH,Hard,32,C
2001-306,St. Poelten,Clay,32,A
2016-M-FU-BRA-04A-2016,Brazil F4,Hard,32,S
1991-429,Stockholm Masters,Carpet,48,M
2009-M-FU-MAS-06A-2009,Malaysia F6,Hard,32,S
2019-M-ITF-GRE-05A-2019,M15 Heraklion,Hard,32,S
2001-M-FU-THA-01A-2001,Thailand F1,Hard,32,S
1994-494,Jakarta,Hard,32,A
2013-807,Acapulco,Clay,32,A
2009-M-FU-FRA-17A-2009,France F17,Hard,32,S
1997-M-SA-GRE-04A-1997a,Greece 4 Masters 1,Hard,24,S
2020-M-ITF-POR-08A-2020,M15 Sintra,Hard,32,15
1993-345,Monterrey CH,Hard,32,C
2005-440,s Hertogenbosch,Grass,32,A
2016-M-FU-QAT-04A-2016,Qatar F4,Hard,32,S
2018-M-FU-TUN-03A-2018,Tunisia F3,Clay,32,S
1985-316,Bastad,Clay,32,A
2016-M-FU-ESP-06A-2016,Spain F6,Clay,32,S
2008-M-FU-ARG-03A-2008,Argentina F3,Clay,32,S
2002-M-FU-ITA-04A-2002,Italy F4,Hard,32,S
2003-M-SA-UKR-01A-2003d,Ukraine 1 4,Clay,32,S
1997-M-SA-ITA-04A-1997a,Italy 4 Masters 1,Clay,32,S
2011-M-FU-LAT-01A-2011,Latvia F1,Clay,32,S
2005-M-FU-POL-04A-2005,Poland F4,Clay,32,S
2014-M-FU-BEL-09A-2014,Belgium F9,Clay,32,S
1998-M-FU-CAN-01A-1998,Canada F1,Hard,32,S
2011-M-FU-TPE-03A-2011,Chinese Taipei F3,Clay,32,S
2012-M-FU-ARG-26A-2012,Argentina F26,Clay,32,S
1997-60,Barletta CH,Clay,32,C
1985-305,Nice,Clay,32,A
2016-M-FU-INA-05A-2016,Indonesia F5,Hard,32,S
2011-3767,Meknes CH,Clay,32,C
1996-M-SA-EGY-02A-1996a,Egypt 2 Masters 1,Clay,32,S
1991-254,Whistler CH,Hard,32,C
2002-M-FU-BRA-05A-2002,Brazil F4,Clay,32,S
1978-D028,Davis Cup EUR PR: SUI vs FRG,,4,D
2011-M-FU-TUR-16A-2011,Turkey F16,Clay,32,S
2003-M-FU-CZE-01A-2003,Czech Rep F1,Clay,32,S
1986-D002,Davis Cup AFR SF: ALG vs NGR,Clay,4,D
2016-M-FU-ESP-09A-2016,Spain F9,Clay,32,S
2008-M-FU-SWE-02B-2008,Sweden F2,Hard,32,S
2006-M-SA-EGY-01A-2006c,Egypt 1 3,Clay,32,S
1994-M-SA-SLO-02A-1994a,Slovenia 2 Masters 1,Carpet,32,S
2013-M-FU-FRA-12A-2013,France F12,Clay,32,S
2010-545,Seoul CH,Hard,32,C
2002-M-FU-USA-13A-2002,USA F13 ,Hard,32,S
1998-M-FU-AUS-02A-1998,Australia F2,Clay,32,S
1977-674,Virginia Beach,Clay,16,A
1982-804,Munich-2 WCT,Carpet,32,A
2017-6787,Portoroz CH,Hard,32,C
2004-M-FU-SVK-01A-2004,Slovak Rep F1,Clay,32,S
1996-M-SA-EGY-01A-1996b,Egypt 1 Masters 2,Clay,24,S
2010-M-FU-MEX-05A-2010,Mexico F5,Hard,32,S
2016-M009,Rome Masters,Clay,64,M
1997-227,Ulm CH,Clay,32,C
2001-D025,Davis Cup G2 QF: URU vs COL,Clay,4,D
2008-M-FU-VEN-07A-2008,Venezuela F7,Clay,32,S
2004-M-SA-SUI-02A-2004c,Switzerland 2 3,Clay,32,S
2013-D018,Davis Cup G1 R2: COL vs URU,Hard,4,D
2005-2153,Caloundra CH,Hard,32,C
2006-M-FU-GER-04A-2006,Germany F4,Carpet,32,S
2007-M-FU-FIN-02A-2007,Finland F2,Clay,32,S
2014-M-FU-ESP-22A-2014,Spain F22,Hard,32,S
2002-336,Hong Kong,Hard,32,A
1994-D036,Davis Cup G1 SF: POR vs GBR,Clay,4,D
2005-M-FU-FRA-05A-2005,France F5,Hard,32,S
2001-M-FU-USA-06A-2001,USA F6,Hard,32,S
2009-M-FU-VEN-09A-2009,Venezuela F9,Hard,32,S
1985-708,La Quinta,Hard,56,A
2012-M-FU-CZE-01A-2012,Czech Republic F1,Clay,32,S
2011-M-FU-GER-01A-2011,Germany F1,Carpet,32,S
2004-M-FU-ROU-04A-2004,Romania F4,Clay,32,S
2020-M-DC-2020-QLS-M-JPN-ECU-01,Davis Cup QLS R1: JPN vs ECU,Hard,4,D
2010-M-FU-BRA-17A-2010,Brazil F17,Clay,32,S
1997-M-SA-YUG-02A-1997d,Yugoslavia 2 Masters 4,Clay,32,S
2012-M-FU-EST-01A-2012,Estonia F1,Clay,32,S
2004-359,Bogota CH,Clay,32,C
2012-321,Stuttgart,Clay,28,A
1978-305,Nice,Clay,32,A
2016-M-FU-SRB-06A-2016,Serbia F6,Clay,32,S
2015-D023,Davis Cup G1 R2: NZL vs IND,Hard,4,D
1993-780,Prague CH,Clay,32,C
1978-414,Hamburg,Clay,64,A
2010-D069,Davis Cup G2 R3: LTU vs SLO,Hard,4,D
1991-M-SA-KOR-01A-1991b,Korea Masters 2,Clay,32,S
2014-M-FU-CAM-02A-2014,Cambodia F2,Hard,32,S
1994-543,Guayaquil CH,Clay,32,C
2005-M-SA-SUI-01A-2005b,Switzerland 1 Satellite 2,Carpet,32,S
2010-M-FU-AUS-01A-2010,Australia F1,Grass,32,S
2005-1741,Busan CH,Hard,32,C
1997-M-SA-AUS-02A-1997d,Australia 2 Masters 4,Hard,32,S
1974-D030,Davis Cup EUR PR: NED vs FIN,Clay,4,D
2001-D012,Davis Cup G1 QF: BAH vs PER,Hard,4,D
1999-M-FU-IRL-02A-1999,Ireland F2,Carpet,32,S
2008-M-FU-ESP-19A-2008,Spain F19,Clay,32,S
1979-D005,Davis Cup EUR F: NZL vs AUS,Grass,4,D
1994-694,Brasilia CH,Hard,32,C
2019-M-ITF-EGY-10A-2019,M15 Sharm El Sheikh,Hard,32,S
2001-M-FU-GBR-11A-2001,Great Britain F11,Hard,32,S
2012-M-FU-VEN-03A-2012,Venezuela F3,Hard,32,S
1994-M-SA-ARG-03A-1994b,Argentina 3 Masters 2,Clay,24,S
2014-586,Lexington CH,Hard,32,C
2012-3967,Karshi CH,Hard,32,C
2004-M-SA-GBR-02A-2004b,Great Britain 2 2,Hard,32,S
1985-227,Neu Ulm CH,Clay,32,C
1973-818,Chicago WCT,Carpet,32,A
2010-M-FU-ARG-02A-2010,Argentina F2,Clay,32,S
2010-M-FU-INA-01A-2010,Indonesia F1,Hard,32,S
2007-D082,Davis Cup G2 PO: CYP vs BUL,Clay,4,D
1991-M-SA-MAS-02A-1991a,Malaysia 2 Masters 1,Hard,32,S
2004-M-FU-CAN-03A-2004,Canada F3,Hard,32,S
1998-M-SA-CZE-01A-1998a,Czech Republic Masters 1,Hard,32,S
2009-588,Zagreb CH,Clay,32,C
1970-663,Louisville,Hard,16,A
2019-0360,Marrakech,Clay,32,A
2016-7393,Canberra CH,Hard,32,C
1980-713,Hobart,Hard,32,A
2000-M-SA-GRE-01A-2000d,Greece Masters 4,Hard,32,S
2014-7077,Prague II CH,Clay,32,C
2003-580,Australian Open,Hard,128,G
1998-D076,Davis Cup G2 QF: PHI vs THA,Clay,4,D
2009-M-FU-USA-23A-2009,USA F23,Hard,32,S
2001-M-FU-SLO-03A-2001,Slovenia F3,Clay,32,S
1993-604,Grand Slam Cup,Carpet,16,A
1999-M-FU-ITA-02A-1999,Italy F2,Clay,32,S
2016-7163,Istanbul,Clay,32,A
2015-1741,Busan CH,Hard,32,C
2016-7434,Sofia,Hard,32,A
2008-M-FU-BUL-02A-2008,Bulgaria F2,Clay,32,S
2014-M-FU-EGY-12A-2014,Egypt F12,Clay,32,S
2003-833,Oberstaufen CH,Clay,32,C
1995-M-SA-FRA-03A-1995d,France 3 Masters 4,Clay,32,S
2019-M-ITF-FRA-04A-2019,M15 Grenoble,Hard,32,S
2014-M-FU-ECU-01A-2014,Ecuador F1,Clay,32,S
2005-M-FU-BEL-02A-2005,Belgium F2,Carpet,32,S
1994-M-SA-ITA-03A-1994c,Italy 3 Masters 3,Clay,32,S
2010-M-FU-JPN-06A-2010,Japan F6,Carpet,32,S
1973-D024,Davis Cup SAM PQ: ECU vs URU,Clay,4,D
1987-377,Valkenswaard CH,Carpet,32,C
2001-323,Brasilia2 CH,Clay,32,C
1999-D059,Davis Cup G2 R1: IRL vs SLO,Carpet,4,D
2004-M-FU-BRN-01A-2004,Bahrain F1,Hard,32,S
2009-3473,Como CH,Clay,32,C
2006-D052,Davis Cup G2 R1: DOM vs JAM,Clay,4,D
1971-D017,Davis Cup AME SF: CAR vs NZL,,4,D
2011-D053,Davis Cup G1 R2: ECU vs CAN,Clay,4,D
2003-444,Bratislava CH,Hard,32,C
1995-D002,Davis Cup G1 SF: VEN vs ARG,Hard,4,D
2018-M-FU-ESP-27A-2018,Spain F27,Clay,32,S
1995-421,Canada Masters,Hard,56,M
1970-406,Brussels,Clay,32,A
2001-M-FU-USA-19A-2001,USA F17B,Clay,32,S
1979-311,Queen's Club,Grass,64,A
2010-D008,Davis Cup G2 R1: MKD vs BIH,Clay,4,D
2018-M-FU-FRA-03A-2018,France F3,Carpet,32,S
2013-M-FU-ESP-28A-2013,Spain F28,Hard,32,S
2019-M-ITF-UGA-02A-2019,M15 Kampala,Clay,32,S
2020-M-ITF-TUN-07A-2020,M15 Monastir,Hard,32,15
1998-891,Chennai,Hard,32,A
1996-M-SA-RSA-01A-1996a,Central Africa Masters 1,Hard,24,S
1997-M-SA-PAN-01A-1997c,Central America Masters 3,Clay,32,S
1996-467,Aptos CH,Hard,32,C
1993-217,Nagoya CH,Hard,32,C
2018-M-DC-2018-G2-EPA-M-ROU-MAR-01,Davis Cup G2 R2: ROU vs MAR,Hard,4,D
2010-M-FU-ITA-16A-2010,Italy F16,Clay,32,S
2018-0603,Fergana CH,Hard,32,C
2009-M-FU-AUS-05A-2009,Australia F5,Hard,32,S
1999-D008,Davis Cup WG R1: ZIM vs AUS,Hard,4,D
2006-622,Puebla CH,Hard,32,C
2006-M-SA-GER-01A-2006b,Germany 1 Satellite 2,Carpet,32,S
2002-M-FU-USA-15A-2002,USA F15,Hard,32,S
2006-M-FU-FRA-13A-2006,France F13,Hard,32,S
2019-M-ITF-TUN-31A-2019,M15 Tabarka,Clay,32,S
2017-M-FU-VIE-03A-2017,Vietnam F3,Hard,32,S
2011-M-FU-ESP-24A-2011,Spain F24,Clay,32,S
2010-M-FU-MAR-03A-2010,Morocco F3,Clay,32,S
1982-422,Cincinnati,Hard,64,M
2001-471,Geneva CH,Clay,32,C
2010-M-FU-TUR-15A-2010,Turkey F15,Clay,32,S
2000-M-FU-SWE-02A-2000,Sweden F2,Carpet,32,S
2002-321,Stuttgart,Clay,32,A
2018-M-FU-CMR-02A-2018,Cameroon F2,Hard,32,S
2007-M-FU-ITA-32A-2007,Italy F32,Clay,32,S
2011-M-FU-FRA-17A-2011,France F17,Hard,32,S
1982-808,Genova WCT,Carpet,32,A
2001-M-FU-NED-03A-2001,Netherlands F3,Clay,32,S
1992-740,Singapore CH,Hard,32,C
2020-M-ITF-ESP-05A-2020,M25 Murcia,Clay,32,25
1995-D003,Davis Cup WG PO: HUN vs AUS,Clay,4,D
2004-515,Denver CH,Hard,32,C
2016-M-FU-GER-04A-2016,Germany F4,Clay,32,S
2011-D023,Davis Cup G1 R1: POR vs SVK,Clay,4,D
2013-M-FU-TUR-31A-2013,Turkey F31,Hard,32,S
2009-423,Los Angeles,Hard,28,A
1987-404,Indian Wells,Hard,56,M
1969-3940,Barranquilla,Clay,8,A
2005-M-FU-COL-01A-2005,Colombia F1,Hard,32,S
2011-3585,Marrakech CH,Clay,32,C
2005-M-FU-USA-25A-2005,USA F25,Hard,32,S
2005-M-SA-ESP-02A-2005b,Spain 2 2,Clay,32,S
2017-M-FU-KUW-03A-2017,Kuwait F3,Hard,32,S
1999-M-SA-AUS-01A-1999a,Australia 1 Masters 1,Clay,32,S
2017-M-FU-POL-06A-2017,Poland F6,Clay,32,S
2013-M-FU-ITA-12A-2013,Italy F12,Clay,32,S
2009-M-FU-EGY-15A-2009,Egypt F15,Clay,32,S
2012-314,Gstaad,Clay,28,A
2010-M-FU-GER-10A-2010,Germany F10,Clay,32,S
1972-423,Los Angeles WCT,Hard,64,A
2001-M-FU-ROU-02A-2001,Romania F2,Clay,32,S
2000-573,Mallorca,Clay,32,A
2015-D028,Davis Cup G1 R1: POL vs LTU,Hard,4,D
2001-D070,Davis Cup WG PO: ARG vs BLR,Clay,4,D
1993-D027,Davis Cup G2 QF: PER vs COL,Clay,4,D
1995-540,Wimbledon,Grass,128,G
2009-M-FU-GER-09A-2009,Germany F9,Clay,32,S
1997-M-SA-COL-01A-1997d,Colombia Masters 4,Clay,32,S
2001-M-SA-ESP-06A-2001a,Spain 6 1,Clay,32,S
2010-M-FU-POL-04A-2010,Poland F4,Clay,32,S
2006-M-FU-USA-27A-2006,USA F27,Hard,32,S
1994-560,US Open,Hard,128,G
2003-2,Ho Chi Minh CH,Hard,32,C
2004-M-SA-CHI-01A-2004a,Chile 1 1,Clay,24,S
1996-D047,Davis Cup WG F: SWE vs FRA,Hard,4,D
1994-M-SA-MEX-04A-1994b,Cuba Mexico Masters 2,Hard,32,S
2000-D014,Davis Cup G1 QF: MAR vs UKR,Clay,4,D
1994-410,Monte Carlo Masters,Clay,64,M
2014-M-FU-ESP-16A-2014,Spain F16,Hard,32,S
1997-D079,Davis Cup WG QF: SWE vs RSA,Carpet,4,D
2016-M-DC-2016-G2-AM-M-PER-MEX,Davis Cup G2 R2: PER vs MEX,Clay,4,D
2015-M-FU-USA-20A-2015,USA F20,Clay,32,S
1998-M-FU-ISR-02A-1998,Israel F2,Hard,32,S
2002-M-SA-ITA-02A-2002c,Italy 2 3,Clay,32,S
2001-M-FU-FRA-22A-2001,France F22,Hard,32,S
2008-M-FU-ESP-14A-2008,Spain F14,Clay,32,S
1999-D021,Davis Cup G2 QF: HUN vs BUL,Clay,4,D
1996-M-SA-BRA-01A-1996d,Brazil 1 Masters 4,Clay,32,S
2018-M-FU-GER-07A-2018,Germany F7,Clay,32,S
2013-M-FU-GER-20A-2013,Germany F20,Carpet,32,S
2006-M-FU-FRA-01A-2006,France F1,Clay,32,S
2008-M-FU-PER-03A-2008,Peru F3,Clay,32,S
1997-M-SA-EGY-01A-1997a,Egypt 1 Masters 1,Clay,24,S
2006-M-FU-FRA-19A-2006,France F19,Hard,32,S
1991-M-SA-KOR-01A-1991d,Korea Masters 4,Clay,24,S
1992-M-SA-CHI-01A-1992d,Chile Masters 4,Clay,24,S
2013-M-FU-FRA-03A-2013,France F3,Hard,32,S
1977-3933,Las Vegas,Carpet,2,A
2004-M-FU-ITA-06A-2004,Italy F6,Clay,32,S
2018-M-FU-KAZ-01A-2018,Kazakhstan F1,Hard,32,S
1971-2051,Tanglewood,Hard,64,A
1987-311,Queen's Club,Grass,64,A
2018-M-DC-2018-G1-AO-M-CHN-NZL-01,Davis Cup G1 R1: CHN vs NZL,Hard,4,D
2005-M-FU-ITA-06A-2005,Italy F6,Clay,32,S
1971-657,Hampton,Hard,32,A
2010-499,Delray Beach,Hard,32,A
2012-M-FU-CRO-05A-2012,Croatia F5,Clay,32,S
2002-720,Surbiton CH,Grass,32,C
1987-D052,Davis Cup WG PO: KOR vs ITA,Hard,4,D
1979-802,Richmond WCT,Carpet,32,A
2019-7397,Kobe CH,Hard,64,C
2000-M-FU-ITA-10A-2000,Italy F11,Hard,32,S
1978-329,Tokyo,Clay,64,A
2017-M-FU-UKR-03A-2017,Ukraine F3,Clay,32,S
2014-2121,Manta CH,Hard,32,C
1977-302,Toronto Indoor WCT,Carpet,16,A
2002-D049,Davis Cup G2 PO: GUA vs AHO,Hard,4,D
1996-D063,Davis Cup WG QF: ITA vs RSA,Clay,4,D
2016-M-FU-ITA-06A-2016,Italy F6,Clay,32,S
1970-D051,Davis Cup EUR SF: URS vs TCH,Clay,4,D
2014-M-FU-PER-01A-2014,Peru F1,Clay,32,S
1995-M-SA-GBR-04A-1995c,Great Britain 4 Masters 3,Hard,32,S
2000-M-FU-NOR-01A-2000,Norway F1,Carpet,32,S
2018-M-FU-QAT-01A-2018,Qatar F1,Hard,32,S
1975-D014,Davis Cup EUR PR: YUG vs BUL,,4,D
1991-336,Hong Kong,Hard,32,A
2008-2120,Cordenons CH,Clay,32,C
2005-M-FU-GBR-02A-2005,Great Britain F2,Hard,32,S
1993-218,Parioli CH,Clay,32,C
1992-M-SA-TCH-01A-1992a,Czechoslovakia Masters 1,Clay,32,S
2019-M-ITF-ITA-24A-2019,M25 Santa Margherita Di Pula,Clay,32,S
2016-M-FU-NOR-03A-2016,Norway F3,Hard,32,S
1988-610,Dallas WCT,Carpet,9,A
2015-M-FU-TUR-08A-2015,Turkey F8,Hard,32,S
2019-9028,Manerbio CH,Clay,64,C
2012-M-FU-ITA-04A-2012,Italy F4,Clay,32,S
2007-M-FU-ESP-34A-2007,Spain F34,Hard,32,S
2016-M-FU-VIE-05A-2016,Vietnam F5,Hard,32,S
2009-M-FU-BEL-03A-2009,Belgium F3,Clay,32,S
2015-M-FU-GRE-07A-2015,Greece F7,Hard,32,S
2001-M-FU-USA-23A-2001,USA F20,Hard,32,S
1981-347,Bournemouth,Clay,32,A
1993-M-SA-POL-01A-1993d,Poland Masters 4,Clay,32,S
2020-M-ITF-GRE-04A-2020,M15 Heraklion,Hard,32,15
1999-M-FU-JPN-01A-1999,Japan F1,Clay,32,S
2017-9003,Poprad-Tatry CH,Clay,32,C
2015-M-FU-ITA-33A-2015,Italy F33,Clay,32,S
2006-M-FU-BOT-01A-2006,Botswana F1,Hard,32,S
2002-453,Brest CH,Hard,32,C
2004-D043,Davis Cup G2 R1: SLO vs POL,Clay,4,D
2013-M-FU-EGY-22A-2013,Egypt F22,Clay,32,S
2003-1737,Atlantic City CH,Hard,32,C
1975-D004,Davis Cup AME SF: AUS vs JPN,Grass,4,D
2015-D001,Davis Cup WG R1: GER vs FRA,Hard,4,D
1996-M-SA-ITA-05A-1996d,Italy 5 Masters 4,Clay,32,S
2015-605,Tour Finals,Hard,8,F
2000-M-FU-USA-24A-2000,USA F23,Hard,32,S
2016-M-FU-AUS-04A-2016,Australia F4,Clay,32,S
2010-D064,Davis Cup G1 PO: LAT vs POL,Carpet,4,D
2002-M-FU-USA-25A-2002,USA F24A,Hard,32,S
2004-M-FU-TUN-03A-2004,Tunisia F3,Clay,32,S
1998-432,Las Vegas CH,Hard,32,C
2005-D079,Davis Cup G2 R2: KOR vs POC,Hard,4,D
2013-2205,Noumea CH,Hard,32,C
2000-M-SA-YUG-01A-2000c,Yugoslavia 3,Clay,32,S
2006-D017,Davis Cup WG PO: GER vs THA,Clay,4,D
1996-509,Andorra CH,Hard,32,C
2004-468,Estoril,Clay,32,A
1995-M-SA-PHI-02A-1995d,Philippines Masters 4,Clay,32,S
